time_seconds,power
21.5542,97.18
21.8759,97.18
22.2013,97.18
22.5272,97.18
22.8529,97.18
23.1795,97.18
23.2425,97.18
23.5049,97.18
23.8293,97.18
24.1549,97.18
24.2100,97.18
24.4811,97.18
24.8074,97.18
25.1315,97.18
25.2490,97.18
25.4591,97.18
25.7848,97.18
26.1110,97.18
26.4369,97.18
26.7608,97.18
26.8223,97.18
27.0787,97.18
27.3956,97.18
27.7126,97.18
27.7723,97.18
28.0324,97.18
28.3523,97.18
28.6688,97.18
28.7334,97.18
28.9896,97.18
29.3093,97.18
29.6277,97.18
29.9490,97.18
30.2672,97.18
30.3201,97.18
30.5897,97.18
30.9117,97.18
31.2319,97.18
31.2917,97.18
31.5560,97.18
31.8745,97.18
32.1961,97.18
32.5189,97.18
32.8401,97.18
33.1634,97.18
33.4845,97.18
33.8080,97.18
34.1299,97.18
34.4526,97.18
34.7754,97.18
35.0984,97.18
35.4218,97.18
35.7755,97.18
36.0680,97.18
36.3921,97.18
36.7155,97.18
37.0397,97.18
37.3633,97.18
37.6868,97.18
38.0110,97.18
38.3351,97.18
38.6591,97.18
38.9838,97.18
39.3081,97.18
39.6323,97.18
39.9574,97.18
40.2836,97.18
40.3448,97.18
40.6067,97.18
40.9310,97.18
41.2561,97.18
41.3185,97.18
41.5817,97.18
41.9069,97.18
42.2285,97.18
42.3388,97.18
42.5565,97.18
42.8815,97.18
43.2070,97.18
43.5320,97.18
43.8567,97.18
44.1824,97.18
44.5068,97.18
44.8326,97.18
45.1587,97.18
45.4836,97.18
45.8085,97.18
46.1351,97.18
46.4597,97.18
46.7849,97.18
47.1101,97.18
47.4360,97.18
47.7623,97.18
48.1021,97.18
48.4194,97.18
48.7400,97.18
49.0741,97.18
49.3930,97.18
49.7283,97.18
49.7962,97.18
50.0414,97.18
50.3657,97.18
50.6921,97.18
50.7558,97.18
51.0188,97.18
51.3437,97.18
51.6696,97.18
51.7680,97.18
51.9953,97.18
52.3234,97.18
52.6476,97.18
52.9729,97.18
53.2976,97.18
53.6232,97.18
53.9501,97.18
54.2722,97.18
54.6018,97.18
54.9273,97.18
55.2527,97.18
55.5787,97.18
55.9042,97.18
56.2306,97.18
56.2944,97.18
56.5557,97.18
56.8818,97.18
57.2079,97.18
57.2667,97.18
57.5334,97.18
57.8595,97.18
58.1854,97.18
58.3052,97.18
58.5114,97.18
58.8332,97.18
59.1503,97.18
59.4677,97.18
59.7840,97.18
60.1033,97.18
60.4209,97.18
60.7394,97.18
61.0588,97.18
61.3783,97.18
61.6970,97.18
62.0181,97.18
62.3375,97.18
62.6583,97.18
62.9787,97.18
63.2998,97.18
63.6196,97.18
63.9410,97.18
64.2631,97.18
64.5841,97.18
64.9061,97.18
65.2280,97.18
65.5503,97.18
65.8726,97.18
66.1964,97.18
66.5178,97.18
66.8406,97.18
67.1637,97.18
67.4880,97.18
67.8109,97.18
68.1342,97.18
68.4568,97.18
