time_seconds,power
14.9630,97.18
15.0174,97.18
15.2823,97.18
15.3286,97.18
15.6078,97.18
15.6595,97.18
15.9337,97.18
15.9927,97.18
16.2598,97.18
16.3124,97.18
16.5859,97.18
16.6470,97.18
16.6491,97.18
16.9115,97.18
16.9651,97.18
17.2358,97.18
17.2982,97.18
17.5614,97.18
17.6143,97.18
17.6166,97.18
17.8875,97.18
17.9458,97.18
18.2139,97.18
18.2625,97.18
18.5381,97.18
18.5955,97.18
18.6556,97.18
18.8657,97.18
18.9264,97.18
19.1912,97.18
19.2449,97.18
19.5176,97.18
19.5733,97.18
19.8436,97.18
19.9033,97.18
20.1673,97.18
20.2272,97.18
20.2289,97.18
20.4855,97.18
20.5332,97.18
20.8023,97.18
20.8533,97.18
21.1191,97.18
21.1767,97.18
21.1789,97.18
21.4390,97.18
21.4866,97.18
21.7589,97.18
21.8121,97.18
22.0753,97.18
22.1381,97.18
22.1403,97.18
22.3961,97.18
22.4463,97.18
22.7157,97.18
22.7624,97.18
23.0343,97.18
23.0889,97.18
23.3556,97.18
23.4167,97.18
23.6735,97.18
23.7249,97.18
23.7266,97.18
23.9963,97.18
24.0529,97.18
24.3184,97.18
24.3671,97.18
24.6386,97.18
24.6962,97.18
24.6981,97.18
24.9626,97.18
25.0104,97.18
25.2811,97.18
25.3359,97.18
25.6027,97.18
25.6495,97.18
25.9254,97.18
25.9780,97.18
26.2465,97.18
26.3039,97.18
26.5700,97.18
26.6316,97.18
26.8911,97.18
26.9460,97.18
27.2147,97.18
27.2636,97.18
27.5365,97.18
27.5935,97.18
27.8593,97.18
27.9092,97.18
28.1821,97.18
28.2382,97.18
28.5049,97.18
28.5563,97.18
28.8283,97.18
28.8874,97.18
29.1821,97.18
29.2400,97.18
29.4745,97.18
29.5341,97.18
29.7986,97.18
29.8486,97.18
30.1222,97.18
30.1806,97.18
30.4463,97.18
30.4936,97.18
30.7701,97.18
30.8259,97.18
31.0934,97.18
31.1539,97.18
31.4176,97.18
31.4664,97.18
31.7417,97.18
31.7957,97.18
32.0655,97.18
32.1226,97.18
32.3905,97.18
32.4381,97.18
32.7146,97.18
32.7713,97.18
33.0389,97.18
33.0866,97.18
33.3640,97.18
33.4212,97.18
33.6901,97.18
33.7485,97.18
33.7516,97.18
34.0133,97.18
34.0674,97.18
34.3375,97.18
34.3843,97.18
34.6627,97.18
34.7229,97.18
34.7252,97.18
34.9885,97.18
35.0346,97.18
35.3135,97.18
35.3657,97.18
35.6352,97.18
35.6837,97.18
35.7453,97.18
35.9632,97.18
36.0095,97.18
36.2883,97.18
36.3385,97.18
36.6136,97.18
36.6676,97.18
36.9386,97.18
37.0001,97.18
37.2632,97.18
37.3181,97.18
37.5889,97.18
37.6476,97.18
37.9133,97.18
37.9636,97.18
38.2392,97.18
38.2960,97.18
38.5651,97.18
38.6150,97.18
38.8902,97.18
38.9485,97.18
39.2153,97.18
39.2658,97.18
39.5416,97.18
39.5984,97.18
39.8664,97.18
39.9129,97.18
40.1915,97.18
40.2460,97.18
40.5169,97.18
40.5778,97.18
40.8427,97.18
40.8959,97.18
41.1688,97.18
41.2297,97.18
41.5088,97.18
41.5747,97.18
41.8260,97.18
41.8933,97.18
42.1465,97.18
42.2126,97.18
42.4805,97.18
42.5471,97.18
42.7996,97.18
42.8666,97.18
43.1348,97.18
43.2008,97.18
43.2030,97.18
43.4481,97.18
43.4942,97.18
43.7722,97.18
43.8279,97.18
44.0987,97.18
44.1603,97.18
44.1624,97.18
44.4254,97.18
44.4786,97.18
44.7502,97.18
44.8109,97.18
45.0762,97.18
45.1270,97.18
45.1746,97.18
45.4018,97.18
45.4566,97.18
45.7297,97.18
45.7903,97.18
46.0540,97.18
46.1083,97.18
46.3796,97.18
46.4250,97.18
46.7041,97.18
46.7624,97.18
47.0298,97.18
47.0785,97.18
47.3566,97.18
47.4122,97.18
47.6787,97.18
47.7333,97.18
48.0082,97.18
48.0649,97.18
