time_seconds,power
18.1261,97.18
18.4342,97.18
18.7649,97.18
19.0986,97.18
19.4182,97.18
19.7528,97.18
20.0709,97.18
20.4071,97.18
20.7202,97.18
21.0515,97.18
21.3682,97.18
21.7014,97.18
22.0322,97.18
22.3324,94.50
22.3508,97.18
22.6792,97.18
23.0092,97.18
23.3329,97.18
23.6389,97.18
23.9592,97.18
24.2826,97.18
24.5926,97.18
24.9178,97.18
25.2440,97.18
25.5523,97.18
25.8681,97.18
26.1944,97.18
26.5225,97.18
26.8307,97.18
27.1587,97.18
27.4729,97.18
27.8019,97.18
28.1160,97.18
28.4416,97.18
28.7551,97.18
29.0838,97.18
29.4096,97.18
29.7373,97.18
30.0517,97.18
30.3694,97.18
30.6993,97.18
31.0152,97.18
31.3438,97.18
31.6622,97.18
31.9931,97.18
32.3458,97.18
32.3475,94.50
32.6403,97.18
32.9543,97.18
33.2865,97.18
33.5995,97.18
33.9320,97.18
34.2604,97.18
34.5725,97.18
34.9015,97.18
35.2284,97.18
35.5440,97.18
35.8772,97.18
36.1923,97.18
36.5270,97.18
36.8544,97.18
37.1730,97.18
37.4905,97.18
37.8286,97.18
38.1408,97.18
38.4716,97.18
38.7894,97.18
39.1153,97.18
39.4444,97.18
39.7735,97.18
40.1059,97.18
40.4240,97.18
40.7533,97.18
41.0700,97.18
41.4017,97.18
41.7206,97.18
42.0546,97.18
42.3720,97.18
42.5221,94.50
42.7044,97.18
43.0187,97.18
43.3518,97.18
43.6836,97.18
44.0018,97.18
44.3353,97.18
44.6807,97.18
44.9995,97.18
45.3183,97.18
45.6528,97.18
45.9723,97.18
46.3066,97.18
46.6002,97.18
46.9337,97.18
47.2661,97.18
47.5843,97.18
47.9172,97.18
48.2327,97.18
48.5626,97.18
48.8963,97.18
49.2140,97.18
49.5308,97.18
49.8681,97.18
50.1842,97.18
50.5181,97.18
50.8392,97.18
51.1707,97.18
51.4866,97.18
51.8156,97.18
52.1382,97.18
52.4736,97.18
52.7360,94.50
52.8048,97.18
53.1204,97.18
53.4563,97.18
53.7769,97.18
54.1082,97.18
54.4260,97.18
54.7555,97.18
55.0711,97.18
55.3957,97.18
55.7225,97.18
56.0312,97.18
56.3539,97.18
56.6671,97.18
56.9933,97.18
57.3012,97.18
57.6266,97.18
57.9371,97.18
58.2617,97.18
58.5876,97.18
58.9016,97.18
59.2270,97.18
59.5411,97.18
59.8694,97.18
60.1832,97.18
60.5021,97.18
60.8261,97.18
61.1551,97.18
61.4657,97.18
61.7933,97.18
62.1080,97.18
62.4344,97.18
62.7651,97.18
62.8061,94.50
63.0793,97.18
63.4039,97.18
63.7297,97.18
64.0569,97.18
64.3723,97.18
64.7030,97.18
65.0213,97.18
65.3522,97.18
65.6689,97.18
65.9999,97.18
66.3179,97.18
66.6448,97.18
66.9601,97.18
67.2932,97.18
67.6110,97.18
67.9370,97.18
68.2676,97.18
68.5822,97.18
68.9114,97.18
69.2416,97.18
69.5599,97.18
69.8937,97.18
70.2200,97.18
70.5349,97.18
70.8668,97.18
71.1831,97.18
71.5172,97.18
71.8469,97.18
72.1635,97.18
72.4969,97.18
72.8094,97.18
72.9641,94.50
73.1397,97.18
73.4669,97.18
73.7848,97.18
74.1189,97.18
74.4368,97.18
74.7662,97.18
75.0987,97.18
75.4105,97.18
75.7404,97.18
76.0736,97.18
76.3924,97.18
76.7241,97.18
77.0409,97.18
77.3763,97.18
77.7057,97.18
78.0222,97.18
78.3529,97.18
78.6706,97.18
79.0054,97.18
79.3228,97.18
79.6538,97.18
79.9708,97.18
80.3067,97.18
80.6395,97.18
80.9514,97.18
81.2798,97.18
81.6098,97.18
81.9316,97.18
82.2642,97.18
82.5839,97.18
82.9185,97.18
83.1725,94.50
83.2362,97.18
83.5712,97.18
83.8824,97.18
84.2187,97.18
84.5352,97.18
84.8722,97.18
85.1899,97.18
85.5136,97.18
85.8462,97.18
86.1776,97.18
86.4980,97.18
86.8287,97.18
87.1483,97.18
87.4739,97.18
87.7874,97.18
88.0973,97.18
88.4205,97.18
88.7475,97.18
89.0587,97.18
89.3888,97.18
89.6963,97.18
90.0264,97.18
90.3427,97.18
90.6672,97.18
90.9769,97.18
91.3014,97.18
91.6287,97.18
91.9423,97.18
92.2688,97.18
92.5941,97.18
92.9117,97.18
93.2358,97.18
93.2771,94.50
93.5604,97.18
93.8754,97.18
94.2036,97.18
94.7527,97.18
95.0647,97.18
95.3968,97.18
95.7105,97.18
96.0398,97.18
96.3722,97.18
96.6880,97.18
97.0055,97.18
97.3346,97.18
97.6673,97.18
97.9857,97.18
98.3179,97.18
98.6317,97.18
98.9625,97.18
99.2903,97.18
99.6025,97.18
99.9318,97.18
100.2630,97.18
100.5806,97.18
100.9149,97.18
101.2336,97.18
101.6515,97.18
101.9200,97.18
102.2702,97.18
102.5852,97.18
102.8555,97.18
103.1851,97.18
103.4362,94.50
103.5029,97.18
103.8307,97.18
104.1592,97.18
104.4855,97.18
104.8054,97.18
105.1399,97.18
105.4618,97.18
105.7774,97.18
106.1087,97.18
106.4374,97.18
106.7650,97.18
107.0939,97.18
